Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,Risk Factor
"10107","","","None","192.168.8.1","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

webserver","None"
"10114","CVE-1999-0524","2.1","Low","192.168.8.1","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is -10799 seconds.
","Low"
"10287","","","None","192.168.8.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.8.100 to 192.168.8.1 : 
192.168.8.100
192.168.8.1

Hop Count: 1
","None"
"10663","","3.3","Low","192.168.8.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 0.0.0.0
  IP address the DHCP server would attribute us : 192.168.8.100
  DHCP server(s) identifier : 192.168.8.1
  Netmask : 255.255.255.0
  Router : 192.168.8.1
  Domain name server(s) : 192.168.8.1 , 192.168.8.1

","Low"
"10863","","","None","192.168.8.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: CN
State/Province: Hubei
Locality: Wuhan
Organization: Huawei
Organization Unit: www.huawei.com
Common Name: B315s
Email Address: mobile@huawei.com

Issuer Name: 

Country: CN
State/Province: Hubei
Locality: Wuhan
Organization: Huawei
Organization Unit: www.huawei.com
Common Name: B315s
Email Address: mobile@huawei.com

Serial Number: 00 B1 FB C1 54 77 2F B6 E7 

Version: 1

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 22 02:16:45 2016 GMT
Not Valid After: Oct 20 02:16:45 2026 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 C7 6D A5 2D 5C E3 26 B2 54 74 27 29 95 8C C9 09 B3 97 F9 
            85 58 CA 6C 20 98 5C 67 63 DE BC CC 1C 30 B6 90 65 52 8D 20 
            1E FE D5 A8 0A 1D 77 93 0D FE 1D 68 DF FE 78 A7 CA 2A AF BC 
            76 EA 60 12 68 26 23 03 DC 2A 46 E6 8A 73 1A 54 60 42 F5 2E 
            E2 65 A7 E9 FB 6E 96 CE 0B 9E 8F EE FC 90 D2 01 09 76 31 C3 
            59 C1 A8 4A 87 16 0B 3B 85 EE 7D 86 7A B3 5A 4E E4 19 1F 1F 
            84 B4 BF B7 CD 5C 67 1A 98 63 A4 88 74 1A AF 78 3C 47 7F AA 
            96 1F D9 6C DA 64 F4 62 4B 2E CF 6F 5E AC 9C 0C F7 2B C6 3B 
            CB 7E 20 4A 6E 86 74 31 A5 84 DE 68 3F 80 38 A2 99 14 4F 54 
            F1 8F B2 93 EE DE 50 43 8D BA 5F A8 47 43 B0 6D E6 56 83 30 
            9A 5B F3 19 6D 02 ED 66 66 B0 AB F2 4F 47 F8 D2 29 6E 08 D7 
            DA A7 F0 A2 22 7A F8 7D A9 C2 DA 88 F3 44 94 E8 30 D0 05 18 
            9E 8F E9 0B 5A D0 CA 58 62 80 B6 32 A7 F2 C4 96 8B 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 AF 98 7B CB B1 18 DD 60 31 C7 96 43 43 19 C4 52 11 AB 58 
           6A 34 3C 72 D4 A2 50 39 B1 EB 90 BA 99 EA EB 90 A3 D4 DD 7E 
           F8 1A 86 94 2A 7D AE AC F8 49 45 D4 BD 41 78 95 B4 50 13 47 
           2A C9 67 C4 9D 53 E7 42 BE 59 38 D6 3D 6D 9A F3 A5 D3 82 94 
           04 0D 1E 50 B0 4B 0A 00 EE 58 10 46 69 1D C9 42 5C C6 AB 32 
           AD D6 3D E2 A1 E9 63 4C CA 82 82 5B BF C8 7B 54 78 CB B2 5F 
           A0 AA 52 03 41 DC A4 59 35 68 E4 EE EF 2E 25 51 2E 44 6C 31 
           46 9D 09 32 06 91 82 F5 30 78 8A 40 83 BB CC 09 9B F7 CB 5D 
           33 74 D6 9E 8B CB FE A9 6A 6B 31 B0 BE 8E 41 F1 AA B0 26 75 
           E6 00 29 0C 66 94 FC B2 E9 55 BF AF 9F A9 A5 13 56 67 C7 18 
           3B 50 31 32 E8 C1 DC B8 6D 2C C2 55 89 85 9A 3F F0 21 9D 53 
           34 98 61 B9 DE 46 58 F0 59 3A 66 75 BE 7B 19 55 30 4A 9B 9A 
           11 8A E0 A6 C1 8C 21 11 E7 D7 B2 E0 69 DF 35 03 00 

Fingerprints : 

SHA-256 Fingerprint: 4F 97 A0 8F 2A AF AB AA 5B AC B2 3D 23 47 F4 53 9E 83 A1 23 
                     52 0B 4C 54 CF 6A 5B F4 E6 FF AB BC 
SHA-1 Fingerprint: 39 B5 DE A2 80 82 98 A3 B6 F5 36 EE 6B E9 1E 44 10 E4 0F D0 
MD5 Fingerprint: 6F 23 FD DB DE AF 6F C8 32 61 F5 80 FD D8 43 89 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIDkDCCAngCCQCx+8FUdy+25zANBgkqhkiG9w0BAQsFADCBiTELMAkGA1UEBhMCQ04xDjAMBgNVBAgMBUh1YmVpMQ4wDAYDVQQHDAVXdWhhbjEPMA0GA1UECgwGSHVhd2VpMRcwFQYDVQQLDA53d3cuaHVhd2VpLmNvbTEOMAwGA1UEAwwFQjMxNXMxIDAeBgkqhkiG9w0BCQEWEW1vYmlsZUBodWF3ZWkuY29tMB4XDTE2MTAyMjAyMTY0NVoXDTI2MTAyMDAyMTY0NVowgYkxCzAJBgNVBAYTAkNOMQ4wDAYDVQQIDAVIdWJlaTEOMAwGA1UEBwwFV3VoYW4xDzANBgNVBAoMBkh1YXdlaTEXMBUGA1UECwwOd3d3Lmh1YXdlaS5jb20xDjAMBgNVBAMMBUIzMTVzMSAwHgYJKoZIhvcNAQkBFhFtb2JpbGVAaHVhd2VpLmNvbTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMdtpS1c4yayVHQnKZWMyQmzl/mFWMpsIJhcZ2PevMwcMLaQZVKNIB7+1agKHXeTDf4daN/+eKfKKq+8dupgEmgmIwPcKkbminMaVGBC9S7iZafp+26Wzguej+78kNIBCXYxw1nBqEqHFgs7he59hnqzWk7kGR8fhLS/t81cZxqYY6SIdBqveDxHf6qWH9ls2mT0Yksuz29erJwM9yvGO8t+IEpuhnQxpYTeaD+AOKKZFE9U8Y+yk+7eUEONul+oR0OwbeZWgzCaW/MZbQLtZmawq/JPR/jSKW4I19qn8KIievh9qcLaiPNElOgw0AUYno/pC1rQylhigLYyp/LElosCAwEAATANBgkqhkiG9w0BAQsFAAOCAQEAr5h7y7EY3WAxx5ZDQxnEUhGrWGo0PHLUolA5seuQupnq65Cj1N1++BqGlCp9rqz4SUXUvUF4lbRQE0cqyWfEnVPnQr5ZONY9bZrzpdOClAQNHlCwSwoA7lgQRmkdyUJcxqsyrdY94qHpY0zKgoJbv8h7VHjLsl+gqlIDQdykWTVo5O7vLiVRLkRsMUadCTIGkYL1MHiKQIO7zAmb98tdM3TWnovL/qlqazGwvo5B8aqwJnXmACkMZpT8sulVv6+fqaUTVmfHGDtQMTLowdy4bSzCVYmFmj/wIZ1TNJhhud5GWPBZOmZ1vnsZVTBKm5oRiuCmwYwhEefXsuBp3zUDAA==
-----END CERTIFICATE-----","None"
"11002","","","None","192.168.8.1","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","None"
"11002","","","None","192.168.8.1","udp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","None"
"11219","","","None","192.168.8.1","tcp","53","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 53/tcp was found to be open","None"
"11219","","","None","192.168.8.1","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","None"
"11219","","","None","192.168.8.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","None"
